"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","47.0mm","43.0mm","47.0mm","43.0mm","47.89mm","43.0mm","T","180","1nF",
"C10","0805_C","24.5mm","14.0mm","24.5mm","14.0mm","24.5mm","14.89mm","T","270","104",
"C11","CP_Elec_6.3x5.8","17.75mm","22.5mm","17.75mm","22.5mm","17.75mm","25.2mm","T","270","100uF 16V",
"C12","0805_C","12.5mm","9.75mm","12.5mm","9.75mm","12.5mm","8.86mm","T","90","1uF",
"C13","0805_C","71.5mm","42.75mm","71.5mm","42.75mm","72.39mm","42.75mm","T","180","103",
"C15","0805_C","92.25mm","27.5mm","92.25mm","27.5mm","93.14mm","27.5mm","T","180","104",
"C17","1206_C","28.5mm","57.75mm","28.5mm","57.75mm","28.5mm","59.24mm","T","270","104 100V",
"C18","0805_C","65.0mm","33.86mm","65.0mm","33.86mm","65.0mm","34.75mm","T","270","104",
"C19","0805_C","66.0mm","26.5mm","66.0mm","26.5mm","65.11mm","26.5mm","T","0","104",
"C2","0805_C","23.0mm","4.0mm","23.0mm","4.0mm","23.0mm","4.89mm","T","270","1uF",
"C20","0805_C","91.0mm","36.0mm","91.0mm","36.0mm","91.89mm","36.0mm","T","180","1nF",
"C21","0805_C","12.5mm","20.4mm","12.5mm","20.4mm","12.5mm","21.29mm","T","270","104",
"C22","0805_C","12.5mm","15.25mm","12.5mm","15.25mm","12.5mm","14.36mm","T","90","104",
"C23","1206_C","8.75mm","59.25mm","8.75mm","59.25mm","8.75mm","57.76mm","T","90","1uF 50V",
"C24","0805_C","95.2mm","36.0mm","95.2mm","36.0mm","96.09mm","36.0mm","T","180","104",
"C25","0805_C","87.5mm","33.5mm","87.5mm","33.5mm","86.61mm","33.5mm","T","0","104",
"C26","0805_C","70.25mm","23.864989mm","70.25mm","23.864989mm","69.36mm","23.864989mm","T","0","104",
"C3","1206_C","21.75mm","14.0mm","21.75mm","14.0mm","21.75mm","12.51mm","T","90","104 63V",
"C4","1210_C","18.25mm","13.975mm","18.25mm","13.975mm","18.25mm","12.5mm","T","90","63V 4.7uF",
"C5","1206_C","17.25mm","41.75mm","17.25mm","41.75mm","17.25mm","43.24mm","T","270","10uF",
"C6","0805_C","57.75mm","38.0mm","57.75mm","38.0mm","56.86mm","38.0mm","T","0","104",
"C7","0805_C","33.75mm","11.25mm","33.75mm","11.25mm","33.75mm","10.36mm","T","90","6.8pF NP0",
"C8","0805_C","36.25mm","11.25mm","36.25mm","11.25mm","36.25mm","10.36mm","T","90","3.3nF NP0",
"C9","0805_C","24.5mm","9.25mm","24.5mm","9.25mm","24.5mm","10.14mm","T","270","104",
"D1","SMB(DO-214AA)_S1","34.0mm","46.5mm","34.0mm","46.5mm","34.0mm","44.29mm","T","270","ZMM4758 1W",
"D10","SOD-123","74.2mm","33.2mm","74.2mm","33.2mm","74.2mm","31.725mm","T","270","4148",
"D11","SOD-123","74.2mm","28.0mm","74.2mm","28.0mm","74.2mm","29.475mm","T","90","4148",
"D12","0805_LED","3.75mm","27.0mm","3.75mm","27.0mm","3.75mm","26.11mm","T","270","Power",
"D13","SMB(DO-214AA)_S1","8.8mm","48.4mm","8.8mm","48.4mm","8.8mm","46.19mm","T","270","24V 1W",
"D14","LL-34","12.25mm","56.25mm","12.25mm","56.25mm","12.25mm","58.0mm","T","90","5.6V",
"D2","SMC(DO-214AB)_S1","33.0mm","17.0mm","33.0mm","17.0mm","29.4315mm","17.0mm","T","180","SK310",
"D3","SOD-123","37.6mm","41.75mm","37.6mm","41.75mm","37.6mm","43.225mm","T","90","4148",
"D4","SMC(DO-214AB)_S1","94.25mm","44.25mm","94.25mm","44.25mm","94.25mm","40.6815mm","T","270","D_TVS",
"D5","SOD-123","39.75mm","41.75mm","39.75mm","41.75mm","39.75mm","40.275mm","T","270","4148",
"D6","SOD-123","7.899999mm","38.85mm","7.899999mm","38.85mm","9.374999mm","38.85mm","T","0","4148",
"D7","SOD-123","12.9mm","38.85mm","12.9mm","38.85mm","14.375mm","38.85mm","T","0","4148",
"D8","0805_LED","46.899999mm","28.4mm","46.899999mm","28.4mm","47.789999mm","28.4mm","T","0","IFault",
"D9","0805_LED","46.9mm","25.4mm","46.9mm","25.4mm","47.79mm","25.4mm","T","0","VFault",
"F1","1206_R","38.25mm","47.75mm","38.25mm","47.75mm","38.25mm","46.26mm","T","90","1A",
"J2","JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight","80.75mm","19.0mm","80.75mm","19.0mm","81.875mm","18.0mm","T","90","Conn_01x02",
"J4","JST_PH_B3B-PH-SM4-TB_03x2.00mm_Straight","54.0mm","30.0mm","54.0mm","30.0mm","55.125mm","28.0mm","T","90","Conn_01x03",
"J5","JST_PH_B4B-PH-SM4-TB_04x2.00mm_Straight","80.8mm","31.2mm","80.8mm","31.2mm","81.925mm","28.2mm","T","90","Conn_01x04",
"L1","L_12.6mm_13.5mm","29.25mm","27.5mm","29.25mm","27.5mm","35.25mm","27.5mm","T","180","120uH 3A",
"Q1","SOT-23(SOT-23-3)","47.0mm","46.5mm","47.0mm","46.5mm","46.05mm","45.25mm","T","270","2N5551",
"Q2","TO-220-External_Thermal_Mount","44.0mm","59.0mm","44.0mm","59.0mm","40.95mm","59.0mm","T","0","SUP90P06",
"Q3","TO-252-2","34.25002mm","52.25mm","34.25002mm","52.25mm","31.88874mm","52.25mm","T","270","MJD127",
"Q4","SOT-23(SOT-23-3)","26.75mm","46.5mm","26.75mm","46.5mm","25.8mm","45.25mm","T","270","2N5551",
"Q5","TO-252-2","13.0mm","48.25mm","13.0mm","48.25mm","13.0mm","50.61128mm","T","180","MJD122",
"Q6","SOT-23(SOT-23-3)","52.0mm","46.5mm","52.0mm","46.5mm","51.05mm","45.25mm","T","270","8050",
"R1","0805_R","75.0mm","46.25mm","75.0mm","46.25mm","75.0mm","47.14mm","T","270","47K 1%",
"R10","0805_R","16.25mm","9.25mm","16.25mm","9.25mm","16.25mm","10.14mm","T","270","2M",
"R11","0805_R","19.0mm","9.25mm","19.0mm","9.25mm","19.0mm","10.14mm","T","270","51K",
"R12","0805_R","30.0mm","47.75mm","30.0mm","47.75mm","30.0mm","46.86mm","T","90","51K",
"R13","0805_R","27.25mm","51.39mm","27.25mm","51.39mm","27.25mm","52.28mm","T","270","220K",
"R14","0805_R","35.0mm","8.0mm","35.0mm","8.0mm","34.11mm","8.0mm","T","0","100K",
"R15","0805_R","27.75mm","8.25mm","27.75mm","8.25mm","26.86mm","8.25mm","T","0","330K",
"R17","0805_R","34.6mm","40.2mm","34.6mm","40.2mm","35.49mm","40.2mm","T","180","220K",
"R18","0805_R","41.75mm","15.5mm","41.75mm","15.5mm","41.75mm","16.39mm","T","270","47K",
"R19","0805_R","41.75mm","11.25mm","41.75mm","11.25mm","41.75mm","12.14mm","T","270","68K",
"R2","0805_R","75.0mm","41.25mm","75.0mm","41.25mm","75.0mm","42.14mm","T","270","2.2K 1%",
"R20","0805_R","39.0mm","11.25mm","39.0mm","11.25mm","39.0mm","10.36mm","T","90","8.2K",
"R21","0805_R","34.1mm","36.6mm","34.1mm","36.6mm","34.1mm","37.49mm","T","270","51K",
"R22","0805_R","21.75mm","9.25mm","21.75mm","9.25mm","21.75mm","10.14mm","T","270","2K",
"R23","0805_R","36.7mm","36.6mm","36.7mm","36.6mm","36.7mm","37.49mm","T","270","10K",
"R24","0805_R","8.0mm","41.6mm","8.0mm","41.6mm","7.11mm","41.6mm","T","0","22K",
"R25","0805_R","12.29mm","41.6mm","12.29mm","41.6mm","11.4mm","41.6mm","T","0","22K",
"R26","0805_R","15.25mm","60.0mm","15.25mm","60.0mm","15.25mm","59.11mm","T","90","33K 1%",
"R27","0805_R","15.25mm","55.5mm","15.25mm","55.5mm","15.25mm","56.39mm","T","270","1.2K 1%",
"R28","1206_R","7.25mm","54.75mm","7.25mm","54.75mm","8.74mm","54.75mm","T","180","0",
"R29","0805_R","87.64mm","16.25mm","87.64mm","16.25mm","88.53mm","16.25mm","T","180","1K",
"R3","0805_R","43.0mm","42.5mm","43.0mm","42.5mm","43.0mm","43.39mm","T","270","10K",
"R30","0805_R","60.75mm","28.0mm","60.75mm","28.0mm","61.64mm","28.0mm","T","180","1K",
"R31","0805_R","60.75mm","31.5mm","60.75mm","31.5mm","61.64mm","31.5mm","T","180","1K",
"R32","0805_R","52.25mm","40.25mm","52.25mm","40.25mm","53.14mm","40.25mm","T","180","10K",
"R33","0805_R","52.25mm","43.0mm","52.25mm","43.0mm","53.14mm","43.0mm","T","180","10K",
"R34","0805_R","42.15mm","28.4mm","42.15mm","28.4mm","41.26mm","28.4mm","T","0","3.3K",
"R35","0805_R","42.15mm","25.4mm","42.15mm","25.4mm","41.26mm","25.4mm","T","0","3.3K",
"R36","0805_R","69.0mm","37.4mm","69.0mm","37.4mm","69.89mm","37.4mm","T","180","10K 1%",
"R37","0805_R","71.5mm","40.25mm","71.5mm","40.25mm","72.39mm","40.25mm","T","180","6.8K 1%",
"R38","0805_R","65.2mm","29.89mm","65.2mm","29.89mm","65.2mm","29.0mm","T","90","10K 1%",
"R39","0805_R","70.25mm","26.5mm","70.25mm","26.5mm","71.14mm","26.5mm","T","180","10K 1%",
"R4","0805_R","43.0mm","51.25mm","43.0mm","51.25mm","43.89mm","51.25mm","T","180","10k",
"R40","0805_R","74.5mm","24.25mm","74.5mm","24.25mm","75.39mm","24.25mm","T","180","10K",
"R41","0805_R","73.25mm","37.5mm","73.25mm","37.5mm","74.14mm","37.5mm","T","180","10K",
"R42","0805_R","13.5mm","4.25mm","13.5mm","4.25mm","12.61mm","4.25mm","T","0","680",
"R43","0805_R","26.5mm","4.0mm","26.5mm","4.0mm","26.5mm","4.89mm","T","270","22K 1%",
"R44","0805_R","30.89mm","3.11mm","30.89mm","3.11mm","30.0mm","3.11mm","T","0","22K 1%",
"R45","0805_R","3.75mm","32.25mm","3.75mm","32.25mm","3.75mm","31.36mm","T","90","10K",
"R6","0805_R","47.0mm","40.5mm","47.0mm","40.5mm","47.89mm","40.5mm","T","180","100K",
"R7","0805_R","43.0mm","48.75mm","43.0mm","48.75mm","42.11mm","48.75mm","T","0","33k",
"R8","0805_R","87.5mm","28.0mm","87.5mm","28.0mm","88.39mm","28.0mm","T","180","1K",
"R9","0805_R","87.5mm","30.75mm","87.5mm","30.75mm","88.39mm","30.75mm","T","180","1K",
"SW1","JST_PH_B2B-PH-SM4-TB_02x2.00mm_Straight","43.75mm","34.25mm","43.75mm","34.25mm","44.75mm","35.375mm","T","180","SW_SPST",
"Test","0805_R","43.0mm","46.25mm","43.0mm","46.25mm","42.11mm","46.25mm","T","0","100K",
"U1","SOIC-8_150MIL","69.95mm","31.75mm","69.95mm","31.75mm","68.045mm","29.15mm","T","0","LMV358",
"U2","SOIC-8_150MIL","93.75mm","32.0mm","93.75mm","32.0mm","96.35mm","30.095mm","T","90","LMV358",
"U3","MSOP-10-1EP_W3mm","29.0mm","11.5mm","29.0mm","11.5mm","26.8mm","12.5mm","T","270","TPS54260",
"U5","TO-220-External_Thermal_Mount","22.0mm","59.0mm","22.0mm","59.0mm","18.95mm","59.0mm","T","0","LM317_3PinPackage",
"U6","SOT-23(SOT-23-3)","19.0mm","3.75mm","19.0mm","3.75mm","20.25mm","2.8mm","T","0","TL431",
"Through Hole Items ",
"C14","CP_Radial_D10.0mm_P5.00mm","83.25mm","47.25mm","83.25mm","47.25mm","83.25mm","47.25mm","T","270","100uF 100V",
"C16","CP_Radial_D5.0mm_P2.50mm","22.5mm","41.25mm","22.5mm","41.25mm","22.5mm","41.25mm","T","270","10uF 63V",
"J1","PCB-10B-M4","87.0mm","7.25mm","87.0mm","7.25mm","92.0mm","7.25mm","T","0","GND",
"J3","PCB-10B-M4","88.0mm","57.0mm","88.0mm","57.0mm","93.0mm","57.0mm","T","0","50V in",
"J6","PCB-10B-M4","68.75mm","12.0mm","68.75mm","12.0mm","68.75mm","17.0mm","T","90","GND",
"J7","PCB-10B-M4","53.6mm","12.0mm","53.6mm","12.0mm","53.6mm","17.0mm","T","90","GND",
"J8","PhoenixContact_MC-G_04x3.81mm_Angled","8.25mm","19.5mm","8.25mm","19.5mm","8.25mm","19.5mm","T","270","Conn_01x04",
"SC1","M3_Screwhole","29.0mm","39.0mm","29.0mm","39.0mm","31.05681mm","40.1875mm","T","0","GND",
"SC2","M3_Screwhole","90.25mm","21.5mm","90.25mm","21.5mm","92.30681mm","22.6875mm","T","0","GND",
"U4","Allegro_CB_PFF","61.0mm","38.0mm","61.0mm","38.0mm","61.0mm","38.0mm","T","0","ACS758xCB-100U-PFF",
